Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,,,,,,,,,,,,,,,,,,,,
AIA Engineering,"3,460.00",-1.63%,"3,524.00","24,747","32,288.85",31.22,36.94,"4,949.95","3,027.20",6.60%,10.16%,-9.56%,67.98%,110.15%,4.78,0.45%,18.53%,22.48%,119.04,"3,276.61","3,598.92",65.13,,,,,,,,,,,,,,,,,,,,
Aimtron Electronics,562,0.93%,553.8,"44,800","1,147.26",44.33,67.22,729.95,307.45,0.38%,41.44%,82.79%,122.09%,122.09%,7.33,-,-,31.41%,-,529.04,502.39,50.57,,,,,,,,,,,,,,,,,,,,
Aion Tech Solutions,69.94,-2.93%,72.95,"29,436",241.87,-,41.34,171,46.55,12.70%,23.03%,-41.24%,32.71%,690.28%,2.58,-,-,-0.82%,-,64.06,75.74,57.22,,,,,,,,,,,,,,,,,,,,
Airan,29.61,-3.17%,30.8,"9,11,784",370.18,20.81,41.34,48.78,23.16,12.46%,9.91%,7.83%,42.01%,67.29%,2.65,-,-,12.06%,-,27.19,31.77,51.79,,,,,,,,,,,,,,,,,,,,
Airo Lam,116.66,-5.09%,124.32,"21,669",175.01,68.28,35.52,164,83.5,31.97%,19.74%,-21.42%,92.35%,530.59%,2.52,-,11.55%,18.66%,4.85,94.02,115.06,84.79,,,,,,,,,,,,,,,,,,,,
Ajanta Pharma,"2,706.40",2.25%,"2,660.00","4,57,045","33,806.21",35.93,47.58,"3,485.00","2,160.15",9.03%,6.34%,12.86%,129.16%,178.44%,9.12,1.07%,22.88%,29.96%,67.81,"2,595.50","2,844.01",48.83,,,,,,,,,,,,,,,,,,,,
Ajax Engineering,614.1,-0.86%,622.4,"80,678","7,025.72",27.26,39.32,756.2,549.1,-11.44%,4.87%,3.14%,3.14%,3.14%,6.13,-,-,32.70%,-,657.26,-,38.15,,,,,,,,,,,,,,,,,,,,
Ajmera Realty & Infra,968.35,1.39%,974.9,"4,06,536","3,811.34",29.88,27.46,"1,224.90",609.55,19.29%,22.61%,38.33%,274.75%,1050.06%,3.12,-,-,11.49%,-,838.53,872.43,70.08,,,,,,,,,,,,,,,,,,,,
Ajooni Biotech,5.63,-0.53%,5.72,"2,83,174",96.97,28.3,39.33,10.34,4.95,-4.25%,-15.72%,2.18%,-26.02%,431.13%,1.11,-,-,7.98%,-,5.89,7.26,37.96,,,,,,,,,,,,,,,,,,,,
Akanksha Power & Infrastructure,117.5,-1.59%,123,"23,000",230.07,53.54,44.35,191.9,82,26.82%,24.08%,18.39%,80.49%,80.49%,3.53,-,-,11.32%,-,98.42,125.41,75.11,,,,,,,,,,,,,,,,,,,,
